ticker,company,industry,country,exchange,pe_ratio_5,pe_ratio_4,pe_ratio_3,pe_ratio_2,pe_ratio_1,roic_5,roic_4,roic_3,roic_2,roic_1,fcf_share_5,fcf_share_4,fcf_share_3,fcf_share_2,fcf_share_1,operating_margin_5,operating_margin_4,operating_margin_3,operating_margin_2,operating_margin_1,de_ratio_5,de_ratio_4,de_ratio_3,de_ratio_2,de_ratio_1,shares_outstanding_5,shares_outstanding_4,shares_outstanding_3,shares_outstanding_2,shares_outstanding_1,total_revenue_5,total_revenue_4,total_revenue_3,total_revenue_2,total_revenue_1,eps_5,eps_4,eps_3,eps_2,eps_1,pe_ratio_score,fcf_share_cagr,eps_cagr,fcf_share_rgw,fcf_share_trend,fcf_yield,fcf_share_score,total_revenue_cagr,total_revenue_trend,total_revenue_score,operating_margin_strength,operating_margin_trend,operating_margin_score,roic_strength,roic_trend,roic_score,de_ratio_score,buyback_yield,buyback_trend,buyback_score,ranking_score,has_incomplete_data
NVDA,NVIDIA Corp,Semiconductors,USA,NASDAQ,59.37,116.91,51.14,48.54,38.32,0.3156,0.123,0.6981,1.0275,0.9357,0.32,0.15,1.08,2.45,3.41,0.3731,0.2068,0.5412,0.6242,0.6038,0.44,0.54,0.26,0.13,0.07,25.06,24.66,24.64,24.48,24.3,26.91,26.97,60.92,130.5,215.94,0.44,0.33,1.3,2.99,4.77,0.2507,0.8068,0.8145,0.9905,0.25,0.1866,0.0462,0.6831,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.25,0.9346,0.3676,0.25,0.0919,0.2721,False
PLTR,Palantir Technologies Inc,Software - Infrastructure,USA,NASDAQ,,,188.06,401.01,280.58,0.2333,0.1415,0.0654,0.1045,0.2545,0.17,0.09,0.3,0.47,0.82,0.2666,0.0846,0.0539,0.1083,0.3159,0.11,0.1,0.07,0.05,0.03,2.03,2.0,2.1,2.24,2.29,1.54,1.91,2.23,2.87,4.48,0.13,0.06,0.25,0.41,0.75,0.0,0.482,0.5498,0.8766,0.25,0.039,0.0085,0.306,0.25,0.2455,1.0,0.25,0.25,1.0,0.25,0.25,0.9709,0.0,0.25,0.0,0.2352,True
ASML,ASML Holding NV,Semiconductor Equipment & Materials,Netherlands,NASDAQ,46.99,36.79,35.2,33.31,38.37,0.3554,0.3992,0.5061,0.3777,0.4371,28.64,19.03,9.02,25.01,32.17,0.3512,0.307,0.3281,0.3192,0.346,0.47,0.51,0.36,0.27,0.24,402.6,394.59,393.42,393.28,385.42,22.0,22.25,29.79,30.57,36.87,16.29,15.42,21.7,20.06,29.54,-0.0429,0.0295,0.1604,0.1838,0.25,0.2838,0.013,0.1378,0.25,0.1696,1.0,0.25,0.25,1.0,0.25,0.25,0.8065,0.9993,0.25,0.2498,0.2287,False
LRCX,Lam Research Corp,Semiconductor Equipment & Materials,USA,NASDAQ,23.44,13.75,18.33,36.72,23.4,0.365,0.408,0.3634,0.2875,0.3965,2.23,1.82,3.44,3.22,4.2,0.3059,0.3114,0.3036,0.2902,0.3201,0.86,0.83,0.64,0.62,0.48,1.43,1.37,1.33,1.3,1.27,14.63,17.18,17.43,14.91,18.44,2.73,3.31,3.41,3.03,4.14,0.0,0.1715,0.1097,1.2,0.25,0.4335,0.1301,0.0596,0.25,0.0893,1.0,0.25,0.25,1.0,0.25,0.25,0.6757,1.0,0.25,0.25,0.2255,False
NFLX,Netflix Inc,Entertainment,USA,NASDAQ,53.62,29.62,40.47,44.94,37.09,0.1657,0.1278,0.1459,0.2254,0.2657,0.03,0.36,1.54,1.58,2.18,0.2086,0.1782,0.2062,0.2647,0.2964,1.14,0.81,0.82,0.73,0.64,4.44,4.45,4.33,4.28,4.22,29.7,31.62,33.72,38.88,45.27,1.12,0.99,1.2,1.98,2.53,0.0835,1.9197,0.226,1.2,0.25,0.2323,0.0697,0.1111,0.25,0.1429,1.0,0.25,0.25,1.0,0.25,0.25,0.6098,0.7009,0.25,0.1752,0.2187,False
GOOG,Alphabet Inc,Internet Content & Information,USA,NASDAQ,25.79,19.47,24.3,23.68,29.04,0.2894,0.2137,0.2491,0.3042,0.3201,4.94,4.56,5.46,5.85,5.99,0.3051,0.2595,0.2805,0.3207,0.3292,0.11,0.12,0.11,0.09,0.16,6.33,6.0,5.69,5.51,5.43,257.49,280.88,307.16,349.81,402.96,5.61,4.56,5.8,8.04,10.81,-0.1951,0.0494,0.1782,0.277,0.25,0.1908,0.0132,0.1185,0.25,0.1585,1.0,0.25,0.25,1.0,0.25,0.25,0.8621,0.726,0.25,0.1815,0.2106,False
JNJ,Johnson & Johnson,Drug Manufacturers - General,USA,NYSE,21.91,26.23,28.32,25.05,18.82,0.2067,0.1561,0.1328,0.1413,0.2375,7.39,6.45,7.13,8.17,8.11,0.2611,0.2649,0.2603,0.2344,0.2774,0.47,0.53,0.44,0.53,0.6,2.63,2.61,2.41,2.41,2.41,93.76,80.06,85.15,88.82,94.18,9.8,10.15,9.92,9.98,10.79,0.2487,0.0235,0.0244,0.9657,0.25,0.3994,0.0964,0.0011,0.25,0.0179,1.0,0.25,0.25,0.95,0.25,0.2375,0.625,0.0,0.25,0.0,0.2014,False
MSFT,Microsoft Corp,Software - Infrastructure,USA,NASDAQ,33.64,26.62,35.16,37.88,36.46,0.3004,0.3216,0.2806,0.2806,0.256,7.38,8.64,7.96,9.92,9.59,0.4159,0.4206,0.4234,0.4464,0.4562,0.58,0.47,0.39,0.36,0.33,7.52,7.46,7.43,7.43,7.43,168.09,198.27,211.91,245.12,281.72,7.97,9.21,9.81,11.8,13.64,-0.037,0.0677,0.1438,0.4707,0.25,0.1928,0.0227,0.1378,0.25,0.1741,1.0,0.25,0.25,1.0,0.25,0.25,0.7519,0.0,0.25,0.0,0.201,False
V,Visa Inc,Credit Services,USA,NYSE,40.59,25.94,28.23,28.67,33.81,0.2074,0.2561,0.2934,0.3236,0.3339,6.64,8.37,9.45,9.21,10.98,0.6566,0.6738,0.6743,0.6725,0.6717,0.57,0.65,0.54,0.55,0.69,1.68,1.64,1.59,1.73,1.69,24.11,29.31,32.65,35.93,40.0,5.91,7.5,8.77,10.05,11.47,-0.1793,0.134,0.1803,0.7431,0.25,0.2831,0.0526,0.1349,0.25,0.1652,1.0,0.25,0.25,1.0,0.25,0.25,0.5917,1.0,0.25,0.25,0.1989,False
MA,Mastercard Incorporated,Credit Services,USA,NYSE,41.03,34.0,36.04,37.92,34.55,0.4321,0.4758,0.5258,0.5538,0.5841,8.95,11.39,11.98,15.4,18.67,0.5394,0.5663,0.5784,0.5698,0.6007,2.01,2.35,2.37,2.93,2.54,972.0,948.0,927.0,907.0,887.0,18.88,22.22,25.13,28.16,32.84,8.4,10.65,12.26,14.6,17.01,0.0413,0.2018,0.1929,1.0461,0.25,0.3177,0.0831,0.1484,0.25,0.183,1.0,0.25,0.25,1.0,0.25,0.25,0.2825,1.0,0.25,0.25,0.1973,False
